codigo,section,bloque,area_id,exclusivo_rol_id,texto,tipo,opciones,locale,peso,escala,scoring,respuesta_correcta,dimension,exclusivo_nivel_id
"ceo_CONOCIMIENTO_Q1","adopcion_ia_ceo","Conocimiento",,,"Como CEO, ¿cuál es la definición más precisa de inteligencia artificial (IA)?","opcion_multiple_unica","[""Software que solo sigue reglas fijas programadas manualmente."",""Tecnología que permite a sistemas aprender de datos y hacer predicciones o decisiones con mínima intervención humana."",""Cualquier automatización usada en la empresa, incluyendo macros de Excel."",""Robots físicos que reemplazan por completo a las personas.""]","es-MX",1,,,"Tecnología que permite a sistemas aprender de datos y hacer predicciones o decisiones con mínima intervención humana.","{""dimension"":""conocimiento""}",
"ceo_CONOCIMIENTO_Q2","adopcion_ia_ceo","Conocimiento",,,"¿Cuál de estos ejemplos describe mejor un uso de IA generativa para un CEO?","opcion_multiple_unica","[""Enviar correos masivos usando una lista de distribución fija."",""Usar un modelo que redacta borradores de discursos y correos a partir de instrucciones de texto."",""Hacer un presupuesto anual en Excel con fórmulas."",""Pagar publicidad en redes sociales sin segmentación.""]","es-MX",1,,,"Usar un modelo que redacta borradores de discursos y correos a partir de instrucciones de texto.","{""dimension"":""conocimiento""}",
"ceo_CONOCIMIENTO_Q3","adopcion_ia_ceo","Conocimiento",,,"¿Qué ventaja principal obtiene un CEO al usar IA para resumir reportes extensos de la organización?","opcion_multiple_unica","[""Evitar por completo leer cualquier reporte."",""Obtener una síntesis rápida para enfocar su atención en decisiones clave."",""Garantizar que todas las conclusiones serán correctas."",""Sustituir al CFO en el análisis financiero.""]","es-MX",1,,,"Obtener una síntesis rápida para enfocar su atención en decisiones clave.","{""dimension"":""conocimiento""}",
"ceo_CONOCIMIENTO_Q4","adopcion_ia_ceo","Conocimiento",,,"En una primera aproximación a IA en tu empresa, ¿qué iniciativa es más razonable?","opcion_multiple_unica","[""Invertir de inmediato la mayoría del presupuesto de TI en IA."",""Lanzar proyectos de IA simultáneos en todas las áreas."",""Definir uno o pocos pilotos con impacto claro y datos disponibles."",""Esperar a que todos los competidores hayan implementado IA.""]","es-MX",1,,,"Definir uno o pocos pilotos con impacto claro y datos disponibles.","{""dimension"":""conocimiento""}",
"ceo_CONOCIMIENTO_Q5","adopcion_ia_ceo","Conocimiento",,,"¿Qué riesgo ético básico debe considerar un CEO al aprobar un proyecto de IA?","opcion_multiple_unica","[""La IA siempre será más cara que las soluciones tradicionales."",""Que el modelo reproduzca sesgos o discriminación presentes en los datos."",""Que la IA obligue a todos los clientes a usar solo canales digitales."",""Que la IA no pueda actualizarse nunca.""]","es-MX",1,,,"Que el modelo reproduzca sesgos o discriminación presentes en los datos.","{""dimension"":""conocimiento""}",
"ceo_CONOCIMIENTO_Q6","adopcion_ia_ceo","Conocimiento",,,"Cuando tu equipo propone un “chatbot de atención al cliente con IA”, ¿qué pregunta inicial es más importante como CEO?","opcion_multiple_unica","[""¿Cuál es el proveedor con mejor marketing?"",""¿Cuántos desarrolladores necesitamos contratar inmediatamente?"",""¿Qué problema de negocio resuelve y cómo mediremos el impacto en clientes y costos?"",""¿Podemos ponerle un nombre atractivo al chatbot?""]","es-MX",1,,,"¿Qué problema de negocio resuelve y cómo mediremos el impacto en clientes y costos?","{""dimension"":""conocimiento""}",
"ceo_ADOPCION_Q1","adopcion_ia_ceo","Adopción/uso",,,"Uso herramientas de IA para resumir documentos largos (reportes, presentaciones, contratos) que me comparte mi equipo directivo.","likert_1_5_frecuencia","[""Nunca"",""Casi nunca"",""A veces"",""Frecuentemente"",""Siempre""]","es-MX",1,"{""min"":1,""max"":5,""sentido"":""más es mayor adopción""}",,,"{""dimension"":""adopcion_uso""}",
"ceo_ADOPCION_Q2","adopcion_ia_ceo","Adopción/uso",,,"Cuando escucho una propuesta de proyecto de IA, hago al menos una pregunta sobre datos, riesgos o métricas de éxito.","likert_1_5_frecuencia","[""Nunca"",""Casi nunca"",""A veces"",""Frecuentemente"",""Siempre""]","es-MX",1,"{""min"":1,""max"":5,""sentido"":""más es mayor adopción""}",,,"{""dimension"":""adopcion_uso""}",
"ceo_ADOPCION_Q3","adopcion_ia_ceo","Adopción/uso",,,"Busco activamente ejemplos de cómo otros CEOs están usando IA (artículos, casos, redes, foros, pares).","likert_1_5_frecuencia","[""Nunca"",""Casi nunca"",""A veces"",""Frecuentemente"",""Siempre""]","es-MX",1,"{""min"":1,""max"":5,""sentido"":""más es mayor adopción""}",,,"{""dimension"":""adopcion_uso""}",
"ceo_ADOPCION_Q4","adopcion_ia_ceo","Adopción/uso",,,"Agendo tiempo en mi semana para experimentar personalmente con herramientas de IA (no solo delego el tema al equipo).","likert_1_5_frecuencia","[""Nunca"",""Casi nunca"",""A veces"",""Frecuentemente"",""Siempre""]","es-MX",1,"{""min"":1,""max"":5,""sentido"":""más es mayor adopción""}",,,"{""dimension"":""adopcion_uso""}",
